'ADANIENT', 'AMARAJABAT', 'ASHOKLEY', 'BAJFINANCE', 'BHARATFORG', 'CIPLA', 'COALINDIA', 'COROMANDEL','EDELWIESS', 'GAIL', 'HDFCBANK', 'HINDPETRO', 'IDEA', 'INDIANB', 'IOC', 'ITC', 'JSWSTEEL', 'JUBILANT','LT', 'M&M', 'MINDTREE', 'MOTILALOFS', 'NMDC', 'RELAXO', 'SBIN', 'SHREECEM', 'TATASTEEL', 'TCS', 'TITAN,'WIPRO'
0.121,0.154,0.096,0.248,0.131,0.052,0.02,0.123,0.075,0.167,0.168,0.276,0.024,0.029,0.222,0.069,0.684,0.116,0.07,0.129,0.128,0.109,0.01,0.26,0.042,0.142,0.046,0.131,0.14,0.134
10.288,1.67,2.7,2.225,2.133,1.159,1.496,1.566,2.591,1.428,1.489,1.637,1.732,3.089,1.102,0.917,2.775,1.985,2.456,1.701,1.089,2.14,2.409,1.359,2.833,1.509,3.092,0.659,1.819,0.614
1.67,5.149,1.791,1.75,1.379,0.55,0.886,1.076,1.509,0.643,0.94,0.711,0.938,1.726,0.477,0.544,1.525,1.258,1.211,1.183,0.633,1.709,1.207,0.911,1.488,0.913,1.836,0.328,1.236,0.342
2.7,1.791,7.193,2.305,2.52,0.896,1.419,1.365,2.521,1.162,1.287,1.832,1.761,2.583,1.253,0.686,2.512,2.02,2.371,2.024,0.842,2.332,2.162,1.468,2.655,1.263,2.755,0.531,1.653,0.509
2.225,1.75,2.305,6.348,1.583,0.634,1.313,1.336,2.212,0.419,1.047,0.914,1.216,2.163,0.462,0.569,1.34,1.472,1.472,1.287,0.928,2.162,1.628,1.206,2.024,1.272,2.021,0.556,1.526,0.121
2.133,1.379,2.52,1.583,14.612,0.857,1.65,1.097,1.973,22.197,10.358,29.536,1.304,2.036,25.466,5.478,70.758,1.825,6.629,10.572,0.817,1.524,2.316,1.263,1.929,1.032,2.736,0.686,1.413,14.932
1.159,0.55,0.896,0.634,0.857,2.806,0.614,0.428,0.978,0.731,0.592,0.732,0.885,0.801,0.668,0.589,1.013,0.94,0.867,0.786,0.656,0.58,0.906,0.491,0.953,0.537,1.059,0.539,0.646,0.571
1.496,0.886,1.419,1.313,1.65,0.614,6.519,0.786,1.287,0.794,0.983,0.898,0.982,1.272,0.681,0.735,1.676,1.207,1.153,0.896,0.962,0.838,1.236,1.057,1.305,0.955,1.55,1.014,1.147,0.843
1.566,1.076,1.365,1.336,1.097,0.428,0.786,4.772,1.458,0.608,0.502,0.687,0.832,1.402,0.409,0.457,1.075,0.953,1.046,0.822,0.801,1.338,1.049,0.799,1.226,0.779,1.391,0.327,0.959,0.281
2.591,1.509,2.521,2.212,1.973,0.978,1.287,1.458,9.272,1.222,1.245,1.56,1.505,2.675,1.258,0.806,2.106,1.839,2.037,1.516,0.921,2.711,2.192,1.428,2.205,1.405,2.463,0.612,1.586,0.551
