'AJANTPHARM', 'AMARAJABAT', 'ASHOKLEY', 'BHARATFORG', 'CIPLA', 'GAIL', 'HDFCBANK', 'HINDPETRO', 'IDEA','IGL', 'IOC', 'ITC', 'JSWSTEEL', 'MOTILALOFS', 'PETRONET', 'SBIN', 'SHREECEM', 'TATASTEEL', 'TCS','WIPRO'
0.224,0.154,0.096,0.131,0.052,0.167,0.168,0.276,0.024,0.132,0.222,0.069,0.684,0.109,0.147,0.042,0.142,0.046,0.131,0.134
6.66,1.086,1.334,1.123,0.864,0.409,0.701,0.881,0.969,0.792,0.366,0.534,1.092,0.969,0.859,1.142,0.839,1.386,0.281,0.451
1.086,5.149,1.791,1.379,0.55,0.643,0.94,0.711,0.938,1.024,0.477,0.544,1.525,1.709,0.908,1.488,0.913,1.836,0.328,0.342
1.334,1.791,7.193,2.52,0.896,1.162,1.287,1.832,1.761,1.344,1.253,0.686,2.512,2.332,1.435,2.655,1.263,2.755,0.531,0.509
1.123,1.379,2.52,14.612,0.857,22.197,10.358,29.536,1.304,1,25.466,5.478,70.758,1.524,10.288,1.929,1.032,2.736,0.686,14.932
0.864,0.55,0.896,0.857,2.806,0.731,0.592,0.732,0.885,0.596,0.668,0.589,1.013,0.58,0.75,0.953,0.537,1.059,0.539,0.571
0.409,0.643,1.162,22.197,0.731,55.269,21.772,70.462,0.956,1.03,62.205,11.6,172.573,0.947,22.254,1.202,0.661,2.582,1.859,34.605
0.701,0.94,1.287,10.358,0.592,21.772,20.515,29.096,0.954,0.57,24.905,5.48,69.708,1.125,9.633,1.371,0.798,1.758,0.479,14.735
0.881,0.711,1.832,29.536,0.732,70.462,29.096,99.387,1.389,1.102,83.854,15.185,234.774,1.156,29.392,1.643,0.898,2.833,-0.002,46.025
0.969,0.938,1.761,1.304,0.885,0.956,0.954,1.389,13.088,0.95,0.722,0.697,1.855,1.308,1.236,1.805,1.012,1.813,0.423,0.562
0.792,1.024,1.344,1,0.596,1.03,0.57,1.102,0.95,4.431,0.802,0.468,1.296,1.121,1.417,0.977,0.702,1.372,0.263,0.33
0.366,0.477,1.253,25.466,0.668,62.205,24.905,83.854,0.722,0.802,77.766,13.079,201.45,0.929,25.307,1.066,0.688,2.492,4.51,39.776
0.534,0.544,0.686,5.478,0.589,11.6,5.48,15.185,0.697,0.468,13.079,5.253,35.626,0.731,5.335,0.868,0.541,1.211,0.469,7.939
1.092,1.525,2.512,70.758,1.013,172.573,69.708,234.774,1.855,1.296,201.45,35.626,598.508,1.671,69.937,2.26,1.185,7.444,0.436,113.436
0.969,1.709,2.332,1.524,0.58,0.947,1.125,1.156,1.308,1.121,0.929,0.731,1.671,7.73,1.074,1.972,1.091,2.089,0.426,0.429
0.859,0.908,1.435,10.288,0.75,22.254,9.633,29.392,1.236,1.417,25.307,5.335,69.937,1.074,13.162,1.213,0.744,1.951,0.185,14.767
1.142,1.488,2.655,1.929,0.953,1.202,1.371,1.643,1.805,0.977,1.066,0.868,2.26,1.972,1.213,5.067,1.324,2.74,0.627,0.483
0.839,0.913,1.263,1.032,0.537,0.661,0.798,0.898,1.012,0.702,0.688,0.541,1.185,1.091,0.744,1.324,3.582,1.428,0.515,0.407
1.386,1.836,2.755,2.736,1.059,2.582,1.758,2.833,1.813,1.372,2.492,1.211,7.444,2.089,1.951,2.74,1.428,6.125,1.165,1.593
0.281,0.328,0.531,0.686,0.539,1.859,0.479,-0.002,0.423,0.263,4.51,0.469,0.436,0.426,0.185,0.627,0.515,1.165,7.458,1.241
0.451,0.342,0.509,14.932,0.571,34.605,14.735,46.025,0.562,0.33,39.776,7.939,113.436,0.429,14.767,0.483,0.407,1.593,1.241,25.544
0.61,0.96,1.33,1.18,0.53,0.78,0.98,1.16,1.24,0.85,0.77,0.74,1.4,1.12,0.68,1.31,0.93,1.24,0.46,0.56
